Unnamed: 0,property_type,price,location,city,baths,purpose,bedrooms,Area_in_Marla
1055,Flat,45000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,4.4
1056,House,23000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,5.0
1057,Flat,18000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,2.9
1058,House,32000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,5.0
1059,House,37000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,8.0
1060,Flat,80000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,2,6.2
1061,Flat,20000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,2.7
1062,House,23000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,5.0
1064,Lower Portion,25000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,10.0
1065,House,35000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,8.0
1066,House,75000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,8.0
1067,House,30000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,5.0
1068,House,45000,Bahria Town Rawalpindi,Rawalpindi,4,For Rent,4,7.0
1069,Flat,40000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,4.9
1070,Upper Portion,38000,Satellite Town,Rawalpindi,3,For Rent,3,7.0
1071,Flat,30000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,3.1
1072,House,30000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,5.0
1073,House,23000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,5.0
1074,Lower Portion,35000,Bahria Town Rawalpindi,Rawalpindi,6,For Rent,6,7.0
1075,House,38000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,8.0
1077,House,23000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,5.0
1078,House,36000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,8.0
1080,Flat,35000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,3.1
1081,House,21000000,DHA Defence,Lahore,5,For Sale,4,10.0
1082,House,10500000,Paragon City,Lahore,3,For Sale,3,5.0
1088,Flat,13500000,Askari,Lahore,3,For Sale,3,11.4
1089,Flat,13700000,Askari,Lahore,3,For Sale,3,11.4
1090,Flat,5000000,Bahria Town,Lahore,1,For Sale,1,2.2
